slug,platform,ntsc
3-ninjas-kick-back,snes,yes
the-7th-saga,snes,yes
asp-air-strike-control,snes,yes
aaahh-real-monsters,snes,yes
abc-monday-night-football,snes,yes
acme-animation-factory,snes,yes
actraiser,snes,yes
actraiser-2,snes,yes
the-addams-family,snes,yes
the-addams-family-pugsleys-scavenger-hunt,snes,yes
addams-family-values,snes,yes
the-adventures-of-batman-and-robin,snes,yes
the-adventures-of-dr-franken,snes,yes
the-adventures-of-mighty-max,snes,yes
the-adventures-of-rocky-and-bullwinkle-and-friends,snes,yes
adventures-of-yogi-bear,snes,yes
aero-fighters,snes,yes
aero-the-acro-bat,snes,yes
aero-the-acro-bat-2,snes,yes
aerobiz,snes,yes
aerobiz-supersonic,snes,yes
air-cavalry,snes,yes
al-unser-jrs-road-to-the-top,snes,yes
alien-3,snes,yes
alien-vs-predator,snes,yes
american-gladiators,snes,yes
an-american-tale-fievel-goes-west,snes,yes
andre-agassi-tennis,snes,yes
animaniacs,snes,yes
arcades-greatest-hits-the-atari-collection-1,snes,yes
arcana,snes,yes
ardy-lightfoot,snes,yes
arkanoid-doh-it-again,snes,yes
art-of-fighting,snes,yes
axelay,snes,yes
bob,snes,yes
ballz-3d,snes,yes
barbie-super-model,snes,yes
barkley-shut-up-and-jam,snes,yes
bass-masters-classic,snes,yes
bass-masters-classic-pro-edition,snes,yes
bassins-black-bass-with-hank-parker,snes,yes
batman-forever,snes,yes
batman-returns,snes,yes
battle-blaze,snes,yes
battle-cars,snes,yes
battle-clash,snes,yes
battle-grand-prix,snes,yes
battletoads-and-double-dragon,snes,yes
battletoads-in-battlemaniacs,snes,yes
bazooka-blitzkrieg,snes,yes
beavis-and-butt-head,snes,yes
bebes-kids,snes,yes
beethoven-the-ultimate-canine-caper,snes,yes
best-of-the-best-championship-karate,snes,yes
big-sky-trooper,snes,yes
biker-mice-from-mars,snes,yes
bill-laimbeers-combat-basketball,snes,yes
bill-walsh-college-football,snes,yes
biometal,snes,yes
blackthorne,snes,yes
blazeon-the-bio-cyborg-challenge,snes,yes
the-blues-brothers,snes,yes
boogerman-a-pick-and-flick-adventure,snes,yes
boxing-legends-of-the-ring,snes,yes
brain-lord,snes,yes
the-brainies,snes,yes
bram-stokers-dracula,snes,yes
brandish,snes,yes
brawl-brothers,snes,yes
breakthru,snes,yes
breath-of-fire,snes,yes
breath-of-fire-ii,snes,yes
